DISTRICT,DATE,COUNT
Camden,2018-07-01,3978
Camden,2018-08-01,3641
Camden,2018-09-01,3598
Camden,2018-10-01,3943
Camden,2018-11-01,3882
Camden,2018-12-01,3615
Camden,2019-01-01,3728
Camden,2019-02-01,3836
Camden,2019-03-01,4315
Camden,2019-04-01,3969
Camden,2019-05-01,3994
Camden,2019-06-01,3981
Camden,2019-07-01,4099
Camden,2019-08-01,3732
City and County of the City of London,2017-01-01,543
City and County of the City of London,2017-02-01,639
City and County of the City of London,2017-03-01,732
City and County of the City of London,2017-04-01,609
City and County of the City of London,2017-05-01,501
City and County of the City of London,2017-06-01,599
City and County of the City of London,2017-07-01,589
City and County of the City of London,2017-08-01,680
City and County of the City of London,2017-09-01,562
City and County of the City of London,2017-10-01,687
City and County of the City of London,2017-11-01,655
City and County of the City of London,2017-12-01,655
City and County of the City of London,2018-01-01,690
City and County of the City of London,2018-02-01,585
City and County of the City of London,2018-03-01,716
City and County of the City of London,2018-04-01,643
City and County of the City of London,2018-05-01,690
City and County of the City of London,2018-06-01,693
City and County of the City of London,2018-07-01,719
City and County of the City of London,2018-08-01,700
City and County of the City of London,2018-09-01,633
City and County of the City of London,2018-10-01,770
City and County of the City of London,2018-11-01,771
City and County of the City of London,2018-12-01,713
City and County of the City of London,2019-01-01,626
City and County of the City of London,2019-02-01,689
City and County of the City of London,2019-03-01,862
City and County of the City of London,2019-04-01,891
City and County of the City of London,2019-05-01,762
City and County of the City of London,2019-06-01,835
City and County of the City of London,2019-07-01,863
City and County of the City of London,2019-08-01,853
City of Westminster,2017-01-01,5202
City of Westminster,2017-02-01,4830
City of Westminster,2017-03-01,5940
City of Westminster,2017-04-01,5594
City of Westminster,2017-05-01,6019
City of Westminster,2017-06-01,5600
City of Westminster,2017-07-01,6289
City of Westminster,2017-08-01,6191
City of Westminster,2017-09-01,5755
City of Westminster,2017-10-01,5944
City of Westminster,2017-11-01,5757
City of Westminster,2017-12-01,6189
City of Westminster,2018-01-01,5811
City of Westminster,2018-02-01,5304
City of Westminster,2018-03-01,5642
City of Westminster,2018-04-01,5726
City of Westminster,2018-05-01,6056
City of Westminster,2018-06-01,6084
City of Westminster,2018-07-01,6723
City of Westminster,2018-08-01,6704
City of Westminster,2018-09-01,6126
City of Westminster,2018-10-01,6976
City of Westminster,2018-11-01,7307
City of Westminster,2018-12-01,7789
City of Westminster,2019-01-01,7278
City of Westminster,2019-02-01,7652
City of Westminster,2019-03-01,8369
City of Westminster,2019-04-01,8116
City of Westminster,2019-05-01,7799
City of Westminster,2019-06-01,7870
City of Westminster,2019-07-01,7625
City of Westminster,2019-08-01,7282
Croydon,2017-01-01,3013
Croydon,2017-02-01,2793
Croydon,2017-03-01,3265
Croydon,2017-04-01,2975
Croydon,2017-05-01,3233
Croydon,2017-06-01,3275
Croydon,2017-07-01,3470
Croydon,2017-08-01,3349
Croydon,2017-09-01,3041
Croydon,2017-10-01,3155
Croydon,2017-11-01,3043
Croydon,2017-12-01,3024
Croydon,2018-01-01,3126
Croydon,2018-02-01,2852
Croydon,2018-03-01,3011
Croydon,2018-04-01,3159
Croydon,2018-05-01,3216
Croydon,2018-06-01,3036
Croydon,2018-07-01,3329
Croydon,2018-08-01,3280
Croydon,2018-09-01,3062
Croydon,2018-10-01,3414
Croydon,2018-11-01,3070
Croydon,2018-12-01,3186
Croydon,2019-01-01,3198
Croydon,2019-02-01,3060
Croydon,2019-03-01,3414
Croydon,2019-04-01,3052
Croydon,2019-05-01,3404
Croydon,2019-06-01,3275
Croydon,2019-07-01,3653
Croydon,2019-08-01,3328
Ealing,2017-01-01,2748
Ealing,2017-02-01,2814
Ealing,2017-03-01,3155
Ealing,2017-04-01,2880
Ealing,2017-05-01,3235
Ealing,2017-06-01,3219
Ealing,2017-07-01,3389
Ealing,2017-08-01,3225
Ealing,2017-09-01,3018
Ealing,2017-10-01,3494
Ealing,2017-11-01,3250
Ealing,2017-12-01,2801
Ealing,2018-01-01,2950
Ealing,2018-02-01,2659
Ealing,2018-03-01,2891
Ealing,2018-04-01,3082
Ealing,2018-05-01,3166
Ealing,2018-06-01,3087
Ealing,2018-07-01,3315
Ealing,2018-08-01,3083
Ealing,2018-09-01,3163
Ealing,2018-10-01,3493
Ealing,2018-11-01,3320
Ealing,2018-12-01,2926
Ealing,2019-01-01,3179
Ealing,2019-02-01,3215
Ealing,2019-03-01,3706
Ealing,2019-04-01,3288
Ealing,2019-05-01,3406
Ealing,2019-06-01,3370
Ealing,2019-07-01,3484
Ealing,2019-08-01,3137
Enfield,2017-01-01,2314
Enfield,2017-02-01,2193
Enfield,2017-03-01,2829
Enfield,2017-04-01,2631
Enfield,2017-05-01,2801
Enfield,2017-06-01,2800
Enfield,2017-07-01,3024
Enfield,2017-08-01,2815
Enfield,2017-09-01,2582
Enfield,2017-10-01,3001
Enfield,2017-11-01,2866
Enfield,2017-12-01,2549
Enfield,2018-01-01,2736
Enfield,2018-02-01,2547
Enfield,2018-03-01,2840
Enfield,2018-04-01,3076
Enfield,2018-05-01,3079
Enfield,2018-06-01,2984
Enfield,2018-07-01,3148
Enfield,2018-08-01,2932
Enfield,2018-09-01,2867
Enfield,2018-10-01,3353
Enfield,2018-11-01,3088
Enfield,2018-12-01,2793
Enfield,2019-01-01,3012
Enfield,2019-02-01,2834
Enfield,2019-03-01,3080
Enfield,2019-04-01,2983
Enfield,2019-05-01,3075
Enfield,2019-06-01,3276
Enfield,2019-07-01,3347
Enfield,2019-08-01,2899
Greenwich,2017-01-01,2470
Greenwich,2017-02-01,2304
Greenwich,2017-03-01,2698
Greenwich,2017-04-01,2455
Greenwich,2017-05-01,2722
Greenwich,2017-06-01,2543
Greenwich,2017-07-01,2900
Greenwich,2017-08-01,2679
Greenwich,2017-09-01,2532
Greenwich,2017-10-01,2833
Greenwich,2017-11-01,2452
Greenwich,2017-12-01,2371
Greenwich,2018-01-01,2390
Greenwich,2018-02-01,2108
Greenwich,2018-03-01,2316
Greenwich,2018-04-01,2546
Greenwich,2018-05-01,2755
Greenwich,2018-06-01,2717
Greenwich,2018-07-01,2835
Greenwich,2018-08-01,2567
Greenwich,2018-09-01,2625
Greenwich,2018-10-01,2783
Greenwich,2018-11-01,2634
Greenwich,2018-12-01,2567
Greenwich,2019-01-01,2576
Greenwich,2019-02-01,2386
Greenwich,2019-03-01,2827
Greenwich,2019-04-01,2670
Greenwich,2019-05-01,2848
Greenwich,2019-06-01,2960
Greenwich,2019-07-01,3076
Greenwich,2019-08-01,2830
Hackney,2017-01-01,2985
Hackney,2017-02-01,3016
Hackney,2017-03-01,3642
Hackney,2017-04-01,3280
Hackney,2017-05-01,3448
Hackney,2017-06-01,3560
Hackney,2017-07-01,3807
Hackney,2017-08-01,3345
Hackney,2017-09-01,3046
Hackney,2017-10-01,3428
Hackney,2017-11-01,3152
Hackney,2017-12-01,2861
Hackney,2018-01-01,2940
Hackney,2018-02-01,2555
Hackney,2018-03-01,2846
Hackney,2018-04-01,3070
Hackney,2018-05-01,3244
Hackney,2018-06-01,3184
Hackney,2018-07-01,3461
Hackney,2018-08-01,3351
Hackney,2018-09-01,3372
Hackney,2018-10-01,3719
Hackney,2018-11-01,3493
Hackney,2018-12-01,3292
Hackney,2019-01-01,3277
Hackney,2019-02-01,3027
Hackney,2019-03-01,3539
Hackney,2019-04-01,3328
Hackney,2019-05-01,3572
Hackney,2019-06-01,3533
Hackney,2019-07-01,3981
Hackney,2019-08-01,3501
Hammersmith and Fulham,2017-01-01,2019
Hammersmith and Fulham,2017-02-01,1885
Hammersmith and Fulham,2017-03-01,2295
Hammersmith and Fulham,2017-04-01,2084
Hammersmith and Fulham,2017-05-01,2347
Hammersmith and Fulham,2017-06-01,2233
Hammersmith and Fulham,2017-07-01,2488
Hammersmith and Fulham,2017-08-01,2428
Hammersmith and Fulham,2017-09-01,2137
Hammersmith and Fulham,2017-10-01,2333
Hammersmith and Fulham,2017-11-01,2498
Hammersmith and Fulham,2017-12-01,2249
Hammersmith and Fulham,2018-01-01,2119
Hammersmith and Fulham,2018-02-01,2062
Hammersmith and Fulham,2018-03-01,2119
Hammersmith and Fulham,2018-04-01,2168
Hammersmith and Fulham,2018-05-01,2376
Hammersmith and Fulham,2018-06-01,2297
Hammersmith and Fulham,2018-07-01,2456
Hammersmith and Fulham,2018-08-01,2129
Hammersmith and Fulham,2018-09-01,2267
Hammersmith and Fulham,2018-10-01,2378
Hammersmith and Fulham,2018-11-01,2224
Hammersmith and Fulham,2018-12-01,2139
Hammersmith and Fulham,2019-01-01,2154
Hammersmith and Fulham,2019-02-01,2109
Hammersmith and Fulham,2019-03-01,2412
Hammersmith and Fulham,2019-04-01,2346
Hammersmith and Fulham,2019-05-01,2300
Hammersmith and Fulham,2019-06-01,2403
Hammersmith and Fulham,2019-07-01,2474
Hammersmith and Fulham,2019-08-01,2220
Haringey,2017-01-01,2743
Haringey,2017-02-01,2712
Haringey,2017-03-01,3011
Haringey,2017-04-01,2968
Haringey,2017-05-01,3224
Haringey,2017-06-01,3117
Haringey,2017-07-01,3649
Haringey,2017-08-01,3389
Haringey,2017-09-01,3100
Haringey,2017-10-01,3303
Haringey,2017-11-01,3330
Haringey,2017-12-01,2795
Haringey,2018-01-01,3027
Haringey,2018-02-01,2757
Haringey,2018-03-01,2932
Haringey,2018-04-01,3340
Haringey,2018-05-01,3336
Haringey,2018-06-01,3491
Haringey,2018-07-01,3578
Haringey,2018-08-01,3081
Haringey,2018-09-01,3085
Haringey,2018-10-01,3434
Haringey,2018-11-01,3240
Haringey,2018-12-01,3123
Haringey,2019-01-01,3122
Haringey,2019-02-01,3011
Haringey,2019-03-01,3393
Haringey,2019-04-01,3107
Haringey,2019-05-01,3380
Haringey,2019-06-01,3414
Haringey,2019-07-01,3637
Haringey,2019-08-01,3013
Harrow,2017-01-01,1388
Harrow,2017-02-01,1371
Harrow,2017-03-01,1590
Harrow,2017-04-01,1469
Harrow,2017-05-01,1622
Harrow,2017-06-01,1550
Harrow,2017-07-01,1714
Harrow,2017-08-01,1494
Harrow,2017-09-01,1512
Harrow,2017-10-01,1597
Harrow,2017-11-01,1485
Harrow,2017-12-01,1296
Harrow,2018-01-01,1533
Harrow,2018-02-01,1386
Harrow,2018-03-01,1440
Harrow,2018-04-01,1399
Harrow,2018-05-01,1658
Harrow,2018-06-01,1606
Harrow,2018-07-01,1845
Harrow,2018-08-01,1553
Harrow,2018-09-01,1603
Harrow,2018-10-01,1797
Harrow,2018-11-01,1740
Harrow,2018-12-01,1621
Harrow,2019-01-01,1761
Harrow,2019-02-01,1664
Harrow,2019-03-01,1862
Harrow,2019-04-01,1760
Harrow,2019-05-01,1859
Harrow,2019-06-01,1912
Harrow,2019-07-01,1967
Harrow,2019-08-01,1731
Havering,2017-01-01,1877
Havering,2017-02-01,1675
Havering,2017-03-01,1995
Havering,2017-04-01,1899
Havering,2017-05-01,2071
Havering,2017-06-01,1971
Havering,2017-07-01,1963
Havering,2017-08-01,2023
Havering,2017-09-01,1846
Havering,2017-10-01,1972
Havering,2017-11-01,1941
Havering,2017-12-01,1863
Havering,2018-01-01,1800
Havering,2018-02-01,1661
Havering,2018-03-01,1928
Havering,2018-04-01,2013
Havering,2018-05-01,2044
Havering,2018-06-01,1857
Havering,2018-07-01,1942
Havering,2018-08-01,1894
Havering,2018-09-01,1845
Havering,2018-10-01,1982
Havering,2018-11-01,1965
Havering,2018-12-01,1836
Havering,2019-01-01,1825
Havering,2019-02-01,1755
Havering,2019-03-01,1934
Havering,2019-04-01,1881
Havering,2019-05-01,2041
Havering,2019-06-01,1882
Havering,2019-07-01,2053
Havering,2019-08-01,1861
Hillingdon,2017-01-01,2685
Hillingdon,2017-02-01,2666
Hillingdon,2017-03-01,3195
Hillingdon,2017-04-01,2717
Hillingdon,2017-05-01,3218
Hillingdon,2017-06-01,2943
Hillingdon,2017-07-01,3143
Hillingdon,2017-08-01,2994
Hillingdon,2017-09-01,2954
Hillingdon,2017-10-01,3231
Hillingdon,2017-11-01,3008
Hillingdon,2017-12-01,3030
Hillingdon,2018-01-01,2878
Hillingdon,2018-02-01,2686
Hillingdon,2018-03-01,3032
Hillingdon,2018-04-01,2865
Hillingdon,2018-05-01,2978
Hillingdon,2018-06-01,2934
Hillingdon,2018-07-01,3207
Hillingdon,2018-08-01,2894
Hillingdon,2018-09-01,2821
Hillingdon,2018-10-01,3185
Hillingdon,2018-11-01,3227
Hillingdon,2018-12-01,2976
Hillingdon,2019-01-01,3048
Hillingdon,2019-02-01,2949
Hillingdon,2019-03-01,3125
Hillingdon,2019-04-01,3057
Hillingdon,2019-05-01,3069
Hillingdon,2019-06-01,3225
Hillingdon,2019-07-01,3220
Hillingdon,2019-08-01,3163
Hounslow,2017-01-01,2322
Hounslow,2017-02-01,2240
Hounslow,2017-03-01,2682
Hounslow,2017-04-01,2416
Hounslow,2017-05-01,2751
Hounslow,2017-06-01,2647
Hounslow,2017-07-01,2851
Hounslow,2017-08-01,2809
Hounslow,2017-09-01,2603
Hounslow,2017-10-01,2825
Hounslow,2017-11-01,2734
Hounslow,2017-12-01,2416
Hounslow,2018-01-01,2585
Hounslow,2018-02-01,2317
Hounslow,2018-03-01,2575
Hounslow,2018-04-01,2669
Hounslow,2018-05-01,2704
Hounslow,2018-06-01,2649
Hounslow,2018-07-01,2926
Hounslow,2018-08-01,2538
Hounslow,2018-09-01,2601
Hounslow,2018-10-01,3004
Hounslow,2018-11-01,2762
Hounslow,2018-12-01,2664
Hounslow,2019-01-01,2584
Hounslow,2019-02-01,2656
Hounslow,2019-03-01,2970
Hounslow,2019-04-01,2691
Hounslow,2019-05-01,2655
Hounslow,2019-06-01,2810
Hounslow,2019-07-01,2903
Hounslow,2019-08-01,2523
Islington,2017-01-01,2824
Islington,2017-02-01,2788
Islington,2017-03-01,3485
Islington,2017-04-01,2887
Islington,2017-05-01,3473
Islington,2017-06-01,3652
Islington,2017-07-01,3748
Islington,2017-08-01,3520
Islington,2017-09-01,3281
Islington,2017-10-01,3468
Islington,2017-11-01,3106
Islington,2017-12-01,2925
Islington,2018-01-01,3052
Islington,2018-02-01,2439
Islington,2018-03-01,2574
Islington,2018-04-01,2904
Islington,2018-05-01,2877
Islington,2018-06-01,3022
Islington,2018-07-01,3337
Islington,2018-08-01,2872
Islington,2018-09-01,2884
Islington,2018-10-01,3389
Islington,2018-11-01,2916
